1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.1797	On 22 and 23 February, in the relative power vacuum immediately after the ousting of Yanukovych, Russian troops and special forces began moving into Crimea through Novorossiysk.	22日和23日，俄罗斯军队和特种部队开始由新罗西斯克进入克里米亚。
1.1776	Kuleba was reported to have said that Ukraine "looks forward to China playing a mediation role in achieving a ceasefire."On 9 March 2022, General Secretary of the Chinese Communist Party Xi Jinping held a video meeting with French President Emmanuel Macron and German Chancellor Olaf Scholz in which he stated that China was "pained to see the flames of war reignited in Europe" and called for the three countries to promote peace negotiations between Russia and Ukraine.	3月8日，习近平在同法国总统埃马纽埃尔·马克龙和德国总理奥拉夫·朔尔茨视频会议中表示，中国对欧洲大陆重燃战火深感痛惜，并呼吁这三个国家推动俄罗斯和乌克兰之间的和平谈判。
1.1775	Lastly, Lavrov stated, "Despite all the provocations, the Russian delegation will continue with the negotiation process, pressing for our own draft agreement that clearly and fully outlines our initial and key positions and requirements."According to a May report from Ukrainska Pravda, the Russian side was ready for a meeting between Zelenskyy and Putin, but it later came to a halt after the discovery of War crimes in the Russian invasion of Ukraine, in particular the Bucha massacre.	最后拉夫罗夫表示，“尽管乌克兰方面有种种挑衅，但俄罗斯代表团仍将继续谈判进程，争取让我们自己提出的协议草案早日落实。”
1.1773	On 13 July, Ukrainian foreign minister Dmytro Kuleba said that peace talks were frozen and Ukraine must first recover the lost territories in the east of the country, before negotiations come.	乌克兰外长德米特罗·库列巴7月13日表示，和谈暂时冻结。
1.1766	The Russian army adopted siege tactics on the western front around the key cities of Chernihiv, Sumy and Kharkiv, but failed to capture them due to stiff resistance and logistical setbacks.	俄罗斯军队曾经接近或包围关键城市，包括切尔尼戈夫、哈尔科夫、赫尔松、基辅、马里乌波尔和苏梅，遭到乌克兰军队顽强抵抗，后勤和行动方面受阻，阻碍了军事进展。
1.1761	On 23 March 2022, NATO Secretary General Jens Stoltenberg accused China of providing political support to Russia, "including by spreading blatant lies and misinformation," and expressed concern that "China could provide material support for the Russian invasion."	北约秘书长延斯·斯托尔滕贝格于2022年3月23日在布鲁塞尔北约峰会的新闻发布会上点名中国向俄罗斯提供了政治支持，包括散布公然的谎言和错误信息。
1.1745	Mark Leonard of the European Council on Foreign Relations has stated that "for China, the war in Ukraine simply isnot that important," adding that the war is seen "not as a cataclysmic war that’s reshaping the global order, but as a proxy conflict."Joseph Torigian of the American University described the Chinese government's position on the invasion as a "balancing act," stating that "the governments of both countries hold similarly negative views about America’s role in Europe and Asia" but that China would not be willing to put its financial interests at risk to support Russia, especially given that China was "trying to preserve its reputation as a responsible stakeholder."	美利坚大学的约瑟夫·托里吉安（Joseph Torigian）将中国政府对入侵的立场描述为“平衡行为”，称“两国对美国在欧洲和亚洲的角色都持有类似的负面看法”，但中国不愿将其经济利益置于有风险支持俄罗斯，特别是考虑到中国“试图维护其作为负责任利益相关者的声誉”。
1.1738	Some NATO members worried about antagonizing Russia.	北约现有成员的反应存在分歧，西欧国家担心因此与俄罗斯对立。
1.1730	Allegations of NATO aggression	反北大西洋公约组织（NATO）的宣传主题；
1.1715	On 10 March, Russian Foreign Minister Sergey Lavrov and his Ukrainian counterpart Dmytro Kuleba met for talks in Antalya, Turkey with Turkish Foreign Minister Mevlüt Çavuşoğlu as mediator, in the first high-level contact between the two sides since the beginning of the invasion.	3月10日，俄罗斯外交部部长谢尔盖·拉夫罗夫和乌克兰外交部部长德米特罗·库列巴在土耳其安塔利亚与土耳其外交部部长梅夫吕特·恰武什奥卢进行会谈。
1.1712	The invasion prompted Ukraine, Finland and Sweden to officially apply for NATO membership.	俄罗斯入侵乌克兰促使长年保持军事不结盟的国家芬兰与瑞典申请加入北约。
1.1703	On 1 March, Acting President Oleksandr Turchynov placed the Armed Forces of Ukraine on full alert and combat readiness.	3月1日，他让乌克兰武装部队进入全面戒备和战备状态。
1.1684	Protests occurred around the world, along with mass arrests of anti-war protesters in Russia, which also enacted a law enabling greater media censorship.	全球多地爆发反对战争的抗议活动，俄罗斯的反战抗议人士遭到俄罗斯当局大规模逮捕。
1.1676	On 1 March, the Russian legislature approved the use of armed forces, leading to an influx of Russian troops and military hardware into the peninsula.	3月1日，俄罗斯联邦会议批准动用武装力量。
1.1675	Allegedly, it represents the desire of "ordinary Ukrainians" to reunite with their "Russian brothers".Anna Ivanovna, the subject of the "grandmother with red flag" video, explained that she mistook the Ukrainian military for Russian invaders and she wanted to "placate" them with a red Bolshevik flag so they would not destroy the village.	奶奶的名字是安娜·伊万诺夫娜，是哈尔科夫州而非基辅州居民，根据BBC对她的独家采访，她举起苏联红旗的目的是安抚俄罗斯人，而她希望东斯拉夫三国能够重新团结——但不是在普京的军队对乌克兰的蹂躏下“团结”。
1.1663	The separatists declared the People's Republics of Donetsk and Luhansk.	绝大部分参会人员支持立即承认顿涅茨克人民共和国与卢甘斯克人民共和国。
1.1658	Ukrainian intelligence attributed responsibility for the video to the Russian intelligence service GRU.According to Bellingcat, a supposed bombing of a "separatist police chief" by a "Ukrainian spy", broadcast on Russian state television, showed visual evidence of the bombing of an old "green army vehicle".	据啤令猫称，俄罗斯国立电视台播报的乌克兰某个间谍对一名“分裂主义警官”实施的有预谋的爆破可以成为某辆“旧式陆军机车”爆破的铁证。
1.1650	Rallies in favour of Putin during this period were called "anti-Orange protests".At the 2008 Bucharest summit, Ukraine and Georgia sought to join NATO.	在2008年布加勒斯特峰会上，乌克兰和格鲁吉亚寻求加入北约。
1.1647	On 17 March 2023 the ICC issued a warrant for Putin's arrest, charging him with individual criminal responsibility in the abduction of children forcibly deported to Russia.	国际刑事法院在2023年3月17日正式发布通缉，以非法驱逐乌克兰儿童等战争罪名，要求所属123个会员国逮捕俄罗斯联邦元首普京至荷兰海牙国际法院受审。
1.1628	In November 2013, a wave of large, pro-European Union (EU) protests erupted in response to Yanukovych's sudden decision not to sign the EU–Ukraine Association Agreement, instead choosing closer ties to Russia and the Eurasian Economic Union.	2013年11月，乌克兰总统维克多·费奥多罗维奇·亚努科维奇在俄罗斯施压下推翻乌克兰最高拉达的决定，拒绝与欧洲联盟（欧盟/EU）签订《乌克兰—欧洲联盟联合协议》，选择与俄罗斯领导的欧亚经济联盟建立更紧密联系，引发一连串亲欧盟的抗议浪潮，即迈丹起义，最终于2014年2月爆发广场起义使亚努科维奇被最高拉达罢免下台，并且逃离乌克兰。
1.1618	According to Voice of America, a large volume of controversial commentary surfaced on Chinese social media in the early stages of the military conflict between Russia and Ukraine.	据美国之音报道，俄乌战争爆发初期，中国大陆社交媒体出现了大量争议性言论，加上当局实施网络言论管控，外界认为这导致了中国大陆舆论场的撕裂与对立。
